iter	Passed	Remaining
0	24	6100
1	45	5660
2	68	5605
3	84	5170
4	100	4901
5	117	4772
6	132	4609
7	148	4478
8	164	4405
9	181	4367
10	199	4342
11	216	4301
12	235	4289
13	251	4244
14	269	4227
15	286	4188
16	304	4168
17	326	4208
18	343	4176
19	360	4149
20	378	4131
21	393	4080
22	409	4039
23	424	3997
24	441	3973
25	459	3958
26	478	3952
27	494	3919
28	510	3887
29	526	3859
30	542	3834
31	559	3810
32	575	3785
33	591	3760
34	608	3737
35	625	3720
36	647	3727
37	663	3700
38	678	3673
39	694	3647
40	712	3631
41	730	3619
42	746	3592
43	763	3575
44	781	3561
45	799	3543
46	818	3533
47	834	3512
48	849	3485
49	865	3462
50	882	3445
51	898	3419
52	913	3395
53	928	3370
54	943	3346
55	960	3326
56	978	3312
57	993	3288
58	1008	3264
59	1023	3241
60	1040	3222
61	1056	3202
62	1072	3182
63	1088	3162
64	1106	3148
65	1123	3131
66	1139	3111
67	1154	3090
68	1170	3069
69	1185	3047
70	1200	3026
71	1216	3008
72	1236	2997
73	1251	2976
74	1269	2961
75	1284	2940
76	1302	2925
77	1320	2911
78	1336	2892
79	1354	2877
80	1369	2857
81	1390	2848
82	1410	2837
83	1427	2820
84	1443	2801
85	1462	2788
86	1477	2768
87	1492	2747
88	1508	2727
89	1528	2717
90	1544	2698
91	1559	2678
92	1575	2659
93	1593	2645
94	1612	2630
95	1631	2617
96	1651	2604
97	1674	2597
98	1692	2582
99	1711	2567
100	1736	2561
101	1758	2552
102	1780	2541
103	1798	2525
104	1821	2515
105	1842	2502
106	1860	2485
107	1877	2468
108	1901	2459
109	1922	2446
110	1940	2430
111	1963	2419
112	1983	2405
113	2004	2391
114	2023	2375
115	2041	2358
116	2057	2339
117	2073	2319
118	2089	2300
119	2104	2280
120	2120	2261
121	2137	2243
122	2153	2223
123	2169	2204
124	2184	2184
125	2199	2164
126	2215	2145
127	2233	2128
128	2251	2112
129	2269	2094
130	2285	2075
131	2300	2056
132	2321	2041
133	2337	2023
134	2353	2004
135	2370	1987
136	2392	1973
137	2413	1958
138	2437	1946
139	2456	1930
140	2478	1916
141	2497	1899
142	2521	1886
143	2539	1869
144	2557	1852
145	2575	1834
146	2592	1816
147	2614	1801
148	2639	1789
149	2660	1773
150	2679	1756
151	2698	1739
152	2720	1725
153	2741	1708
154	2760	1692
155	2779	1675
156	2803	1660
157	2823	1643
158	2841	1626
159	2859	1608
160	2877	1590
161	2898	1574
162	2917	1557
163	2937	1540
164	2958	1524
165	2981	1508
166	3000	1491
167	3016	1472
168	3033	1453
169	3050	1435
170	3066	1416
171	3081	1397
172	3097	1378
173	3113	1359
174	3133	1342
175	3148	1323
176	3164	1305
177	3180	1286
178	3196	1267
179	3215	1250
180	3233	1232
181	3252	1215
182	3268	1196
183	3284	1178
184	3305	1161
185	3322	1143
186	3339	1125
187	3355	1106
188	3371	1088
189	3388	1070
190	3404	1051
191	3420	1033
192	3436	1014
193	3456	997
194	3473	979
195	3489	961
196	3505	943
197	3522	925
198	3539	907
199	3555	888
200	3572	870
201	3588	852
202	3605	834
203	3622	816
204	3645	800
205	3661	782
206	3677	763
207	3692	745
208	3708	727
209	3727	709
210	3745	692
211	3762	674
212	3778	656
213	3796	638
214	3812	620
215	3830	602
216	3845	584
217	3860	566
218	3876	548
219	3895	531
220	3911	513
221	3926	495
222	3942	477
223	3962	459
224	3977	441
225	3993	424
226	4008	406
227	4024	388
228	4039	370
229	4054	352
230	4069	334
231	4084	316
232	4099	299
233	4114	281
234	4129	263
235	4147	246
236	4162	228
237	4178	210
238	4193	193
239	4209	175
240	4225	157
241	4244	140
242	4261	122
243	4276	105
244	4294	87
245	4311	70
246	4328	52
247	4343	35
248	4358	17
249	4373	0
